Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
41128771.0,20362329.0,20766442.0,20.700378250591015,6.343086682427107,9.0,21.36863953196527,28.950358508050513,31.756572870402525,12.925650460931333,5.9655819984744465,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,20.82783034257749,78.3627517306781,68.71925216706067,74.08075886524823,101.51146058531315,33.21782297364581,93.34517165078628,2022,Afghanistan
40099462.0,19844584.0,20254878.0,35.842,7.344,9.0,21.36863953196527,28.950358508050513,31.756572870402525,12.925650460931333,5.9655819984744465,14583135236.5744,1.1851792829892964,122352449.727939,4883089769.33996,3671.529454986526,17.86,78.3627517306781,58.915,65.279,101.51146058531315,33.21782297364581,93.34517165078628,2021,Afghanistan
38972230.0,19279929.0,19692301.0,36.051,7.113,9.0,18.48131,45.98341,53.91368,26.41834,11.71,20143451705.7548,1.1851792829892964,188942063.569555,5402594629.85022,3671.529454986526,17.58,78.3627517306781,59.866,65.432,101.51146058531315,10.8584403991699,93.34517165078628,2020,Afghanistan
37769499.0,18679090.0,19090409.0,36.466,6.791,9.0,18.33941,44.51263,59.36147,24.07933,11.085,18904502222.2108,1.1851792829892964,300524891.976758,4872440871.18381,3671.529454986526,18.51,78.3627517306781,60.619,66.677,110.007507324219,33.21782297364581,86.1755218505859,2019,Afghanistan
36686784.0,18136922.0,18549862.0,36.927,6.981,9.0,18.12015,44.39712,63.66947,23.55313,11.11,18418860354.4238,1.1851792829892964,191409175.785759,4060050370.96022,3671.529454986526,17.96,78.3627517306781,59.923,66.458,107.780532836914,9.96378993988037,88.7355194091797,2018,Afghanistan
35643418.0,17614722.0,18028696.0,37.342,7.027,9.0,18.02644,43.989,66.61707,23.59966,11.18,18896353155.8839,1.1851792829892964,248665016.339125,4992454123.29534,3671.529454986526,19.21,78.3627517306781,60.105,66.099,106.129997253418,33.21782297364581,87.2533264160156,2017,Afghanistan
34636207.0,17115346.0,17520861.0,37.936,7.077,9.0,19.27449,44.37642,66.19894,24.80629,10.086,18019554403.4503,1.1851792829892964,179568008.180815,4638289891.41854,3671.529454986526,19.92,78.3627517306781,61.193,65.096,106.150283813477,33.21782297364581,82.9104614257812,2016,Afghanistan
33753499.0,16682053.0,17071446.0,38.803,7.331,9.0,20.66918,44.65121,65.68285,26.0521,8.989,19998143635.873,1.1851792829892964,180788998.012871,4126481495.1712,3671.529454986526,17.53,78.3627517306781,60.76,64.576,106.182418823242,33.21782297364581,93.34517165078628,2015,Afghanistan
32716210.0,16172321.0,16543889.0,39.105,7.395,9.0,22.04671,44.79854,64.95338,27.4106,7.91,20550582746.8448,1.1851792829892964,-2378156.25136469,4549291004.84737,3671.529454986526,18.93,78.3627517306781,60.812,64.274,109.115516662598,8.31087017059326,93.34517165078628,2014,Afghanistan
31541209.0,15594637.0,15946572.0,39.601,7.478,9.0,19.53853,47.64077,67.85356,25.20403,7.949,20564485419.1684,1.1851792829892964,71748547.6953636,4690895412.39673,3671.529454986526,16.86,78.3627517306781,60.791,64.027,107.695976257324,33.21782297364581,93.34517165078628,2013,Afghanistan
